priority(expr_number)		cpu-0(ns)			cpu-1(ns)
 -20(1)				8038711446			6881997471
 -20(2)				6439011742			8293101065
 -20(3)				7510081654			7181125342
 -10(1)				5633890785			9284746397
 -10(2)				3639957842			11042188888
 -10(3)				7345765216			7346608088
   0(1)				5798873811			8966160191
   0(2)				8641537513			6409532358
   0(3)				6741595462			8303047033
  10(1)				0				16114776565
  10(2)				16930594710			2606686193
  10(3)				11118430904			6250834615
